No,Barcode,HBM,Core,Channel,Bank,Failed_Test,failed_address,failed_address_count,Fail_mode,CDC-SID0,CDC-SID1,CDC-SID2,PFA,Report,Status,Defect_type_Log,Defect_location_Log,Defect_type_PFA,Defect_location_PFA,Assessment
46,TZNBVV68M8413LS10020,D,5,D1,H1,Scan,[0x3c80],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00918,,Functional,,,,
47,TZNBVV68M8413LS10020,D,6,H1,E1,Scan,[0x38f4],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00918,,Functional,,,,
48,TZNBWR01LA414LS10030,F,1,C1,D1,Scan,[0x216a],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00918,,Functional,,,,
49,TZNBWR01LA414LS10030,F,8,M1,C1,Scan,[0x1995],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00918,,Functional,,,,
50,TZNBYM46LD416TS10001,H,12,O1,M1,Scan,[0x24db],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00937,,Functional,,,,
51,TZNBYA10M9415LS10030,H,3,I1,O1,Scan,[0x820],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00938,,Functional,,,,
52,TZNBYM43L9415LS10020,F,2,F0,J0,Scan,[0x29ba],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00938,,Functional,,,,
53,TZNBYM43L9415LS10020,F,2,G0,G0,Scan,[0x1d58],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00938,,Functional,,,,
54,TZNBYM43L9415LS10020,F,3,I1,B1,Scan,[0x3d28],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00938,,Functional,,,,
55,TZNBYM43L9415LS10020,F,8,P1,B1,Scan,[0x283d],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00938,,Functional,,,,
56,TZNBVW06LQ415LS10005,D,2,H0,O0,March & Scan,"[0x2e, 0x16, 0x34, 0xc, 0x36, 0x4, 0x24, 0x1c, 0x26, 0x1e, 0x3c, 0x3e, 0x6, 0x14, 0x2c, 0xe]",16,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\B_PreconMSL4_TCK,,Die edge crack,Right_2,,,
57,TZNBYA34LE416LS10029,B,2,E1,L1,Scan,[0x392c],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\B_PreconMSL4_TCK,,Functional,,,,
58,TZNBYA34LE416LS10029,B,6,E1,D1,Scan,[0x1b7f],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\B_PreconMSL4_TCK,,Functional,,,,
59,TZNBYA42LJ416LS10013,D,12,M1,D1,Scan,[0xdad],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\B_PreconMSL4_TCK,,Functional,,,,
60,TZNBVV52M9415LS10017,H,3,K0,G0,Scan,[0x2ec6],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\C_TCK10,,Functional,,,,
